PDBchain   len  method   resol   rfac  freerfac
5XDHA       86  XRAY      1.32  0.156  0.175
4EAEA      190  XRAY      1.32  0.159  0.177
7RSWA      168  XRAY      1.32   0.16  0.208
6EQSA      275  XRAY      1.32  0.161  0.209
2IBLA      130  XRAY      1.32  0.161   0.17
7VMFA       96  XRAY      1.32  0.162  0.189
3GBWA      164  XRAY      1.32  0.164  0.189
5HQHA      109  XRAY      1.32  0.164  0.192
1MKKA       96  XRAY      1.32  0.168  0.195
8YCMA      229  XRAY      1.32  0.176  0.196
6D4KA      261  XRAY      1.32  0.178  0.218
7Z76C      162  XRAY      1.32  0.179  0.202
7Z76B       97  XRAY      1.32  0.179  0.202
8IS2A      117  XRAY      1.32  0.227  0.275
6ZZBA      242  XRAY     1.322  0.166  0.188
6Z96A      166  XRAY     1.327  0.166  0.184
7CDYA      355  XRAY     1.329  0.167  0.181
9MM2A      450  XRAY      1.33  0.121   0.14
3LHIA      232  XRAY      1.33  0.133  0.161
7KTNA      356  XRAY      1.33  0.142  0.163
8JWDA      148  XRAY      1.33  0.146  0.174
4PMOA      234  XRAY      1.33   0.15  0.165
5M2PA      109  XRAY      1.33   0.15  0.171
5KXHA      355  XRAY      1.33  0.153   0.17
6I5OA      118  XRAY      1.33  0.155  0.178
3NGGA       50  XRAY      1.33  0.176   0.21
4EFPA      239  XRAY      1.33  0.184  0.231
6JJTA      149  XRAY      1.33  0.186  0.215
4EE6A      304  XRAY      1.33  0.191  0.213
5M97A       77  XRAY      1.33  0.195  0.212
6FLFA      363  XRAY      1.33  0.201  0.226
5KQRA      268  XRAY     1.331  0.171  0.189
4PQDA      105  XRAY     1.332  0.171  0.186
8HELA       76  XRAY     1.332  0.194  0.229
5WK0A      163  XRAY     1.335  0.152   0.19
7R84A       54  XRAY     1.336  0.179  0.208
6UQ8A      604  XRAY     1.339  0.135  0.143
5OPZA      137  XRAY      1.34  0.091   0.12
5KTNA      304  XRAY      1.34  0.124  0.155
6YDRA      152  XRAY      1.34  0.128  0.155
5EJ8A      556  XRAY      1.34  0.134  0.164
4PHRA      277  XRAY      1.34  0.149  0.188
9GVHB       75  XRAY      1.34  0.157  0.194
4BGBA      325  XRAY      1.34  0.159  0.183
9EQOA       65  XRAY      1.34  0.162  0.173
3TOWA      152  XRAY      1.34  0.166  0.193
3S83A      259  XRAY      1.34  0.169  0.198
9FYMA      330  XRAY      1.34   0.17  0.197
4L5EA       46  XRAY      1.34  0.176  0.206
7KZWA      131  XRAY      1.34  0.177  0.189
5YHRA       97  XRAY      1.34   0.18  0.196
3VTGA      200  XRAY      1.34  0.188  0.204
1VH5A      148  XRAY      1.34  0.188  0.228
7W8EA       69  XRAY      1.34   0.21  0.225
6Z2TA       58  XRAY      1.34  0.216  0.238
1UTGA       70  XRAY      1.34   0.23  NA   
5W7WA      108  XRAY     1.348  0.148  0.164
4CS4A      274  XRAY     1.349   0.15  0.176
4QHWA      401  XRAY      1.35  0.107  0.134
3LAAA      200  XRAY      1.35  0.115  0.128
5COFA      173  XRAY      1.35  0.116  0.138
6SJ8A      307  XRAY      1.35  0.121  0.157
4KDWA      123  XRAY      1.35  0.132  0.165
5UJCA      270  XRAY      1.35  0.134  0.163
3OCUA      262  XRAY      1.35  0.136  0.154
3RX9A      155  XRAY      1.35  0.138   0.16
6FC1B       64  XRAY      1.35  0.139  0.168
4H6CA      195  XRAY      1.35   0.14  0.174
3S9XA      159  XRAY      1.35   0.14  0.172
8GQCA      264  XRAY      1.35  0.141  0.162
6SUNA      335  XRAY      1.35  0.143  0.176
6ZRWA      126  XRAY      1.35  0.147  0.176
5TKWA      237  XRAY      1.35  0.148  0.176
3IB5A      348  XRAY      1.35  0.151  0.181
3I10A      278  XRAY      1.35  0.151  0.172
2XOLA      176  XRAY      1.35  0.152  0.178
4ESMA      302  XRAY      1.35  0.153  0.181
8CWTA       90  XRAY      1.35  0.153  0.174
2GKPA      167  XRAY      1.35  0.154  0.206
4JF8A      179  XRAY      1.35  0.155  0.175
3B5OA      244  XRAY      1.35  0.156  0.174
3BT5A      177  XRAY      1.35  0.156  0.188
3VVVA      123  XRAY      1.35  0.156  0.189
1G2RA      100  XRAY      1.35  0.156  0.185
3GNZP      213  XRAY      1.35  0.157  0.184
6DCJA      231  XRAY      1.35  0.158   0.19
4MNOA      115  XRAY      1.35  0.158  0.186
3U6GA      126  XRAY      1.35  0.159  0.207
3CKMA      327  XRAY      1.35   0.16  0.194
4AK2A      288  XRAY      1.35   0.16  0.191
4NDOA      276  XRAY      1.35  0.161  0.177
1FD3A       41  XRAY      1.35  0.161  0.237
1V0WA      506  XRAY      1.35  0.162  0.186
7T5TA      291  XRAY      1.35  0.162  0.168
3SBMA      281  XRAY      1.35  0.162  0.174
5EHAA      153  XRAY      1.35  0.163  0.183
4G0XA      147  XRAY      1.35  0.163  0.179
8VIJA      116  XRAY      1.35  0.164  0.201
7WF8A      131  XRAY      1.35  0.165  0.191
6TZNA      121  XRAY      1.35  0.166  0.194
8A4OD      231  XRAY      1.35  0.167  0.181
4XDUA      340  XRAY      1.35  0.169  0.188
6ZZJA      241  XRAY      1.35  0.169  0.194
4REOA      229  XRAY      1.35  0.169  0.209
4RUQA      238  XRAY      1.35  0.173  0.185
4EQPA      143  XRAY      1.35  0.174  0.188
6G6KA       94  XRAY      1.35  0.174  0.203
3SJMA       64  XRAY      1.35  0.174  0.208
6L4VA      502  XRAY      1.35  0.175  0.189
2Z5WA      136  XRAY      1.35  0.175  0.191
2I49A      429  XRAY      1.35  0.178  0.193
7SVGA      322  XRAY      1.35  0.178    0.2
3NG8A       89  XRAY      1.35  0.179  0.224
4GOFA       52  XRAY      1.35  0.182  0.198
1E5KA      201  XRAY      1.35  0.184  0.213
6F5ZC       61  XRAY      1.35  0.186  0.207
4Q2SA      143  XRAY      1.35  0.187  0.212
1PZ4A      116  XRAY      1.35  0.187  0.226
4H4DA      323  XRAY      1.35  0.192  0.214
2VOVA      336  XRAY      1.35  0.194  0.211
7P6SA      161  XRAY      1.35  0.196  0.224
1TZVA      142  XRAY      1.35  0.199  0.213
1UZKA      162  XRAY      1.35  0.202  0.261
1UKFA      188  XRAY      1.35  0.204  0.222
2IP6A      112  XRAY      1.35  0.209   0.23
8QZVA      167  XRAY      1.35  0.212  0.236
5MAOA       71  XRAY      1.35  0.238  0.249
4QPTA      215  XRAY     1.351   0.17  0.203
4IPUA      137  XRAY     1.351  0.177  0.203
7EPJA      101  XRAY     1.354  0.163  0.184
4X1ZA      332  XRAY      1.36  0.109  0.132
6QPKA       80  XRAY      1.36   0.14   0.18
5CECA      446  XRAY      1.36  0.143  0.169
4RP3A       98  XRAY      1.36   0.15  0.206
7QQIA      491  XRAY      1.36  0.151  0.185
7ZEEA      302  XRAY      1.36  0.161  0.197
7NMQA      365  XRAY      1.36  0.164  0.199
9D60A      480  XRAY      1.36  0.165  0.177
5Y37A      344  XRAY      1.36  0.167  0.185
6WESA      158  XRAY      1.36  0.175  0.199
5L74A      151  XRAY      1.36  0.176  0.203
6Z4WA      230  XRAY      1.36  0.177  0.195
6HIUA      161  XRAY      1.36  0.197  0.224
6TT2A      169  XRAY      1.36  0.205  0.234
8ROEB       81  XRAY      1.36  0.205  0.219
6MX3A      188  XRAY     1.362  0.188  0.202
7WCFA      320  XRAY     1.364   0.18    0.2
4HWVA      503  XRAY      1.37  0.126  0.149
1JO0A       98  XRAY      1.37  0.138  0.221
6KSRA      467  XRAY      1.37  0.139  0.161
6PCDA      423  XRAY      1.37   0.14  0.172
6H5WA      591  XRAY      1.37  0.146  0.175
4TQXA      206  XRAY      1.37  0.147  0.179
6UUYA      253  XRAY      1.37  0.148  0.176
8E9DA      406  XRAY      1.37   0.15   0.16
8TG4A      206  XRAY      1.37   0.15  0.175
4EIVA      297  XRAY      1.37  0.153  0.185
3SO6A      137  XRAY      1.37  0.154  0.206
3B79A      129  XRAY      1.37  0.158  0.182
6NIOA      235  XRAY      1.37  0.161  0.179
4CFQQ       45  XRAY      1.37  0.162  0.193
8OXKA       99  XRAY      1.37  0.169  0.186
7MS0A      163  XRAY      1.37  0.171  0.186
6E5FA      228  XRAY      1.37  0.178  0.203
3CJSB       72  XRAY      1.37  0.182  0.206
3CJSA       59  XRAY      1.37  0.182  0.206
3C3YA      237  XRAY     1.371  0.189  0.222
6ZVOA      153  XRAY     1.371  0.192  0.234
6RY3A       76  XRAY     1.374  0.186  0.213
5MJRA      239  XRAY      1.38  0.116  0.155
4BQNA      312  XRAY      1.38  0.118  0.155
3UB6A      181  XRAY      1.38  0.124  0.146
5CL8A      241  XRAY      1.38  0.134  0.158
4PSRA      585  XRAY      1.38   0.14  0.166
7QRJA      184  XRAY      1.38  0.142  0.165
6R5JA       68  XRAY      1.38  0.144  0.171
8GYNA      160  XRAY      1.38  0.149  0.184
3G7RA      221  XRAY      1.38  0.151  0.174
4HWMA      130  XRAY      1.38  0.151  0.179
1S9UA      207  XRAY      1.38  0.163  0.185
5ZDMA      211  XRAY      1.38  0.165  0.192
4XZFA      122  XRAY      1.38  0.167  0.207
2JEKA      145  XRAY      1.38  0.169    0.2
3NUFA      119  XRAY      1.38  0.172  0.192
7K5LA      172  XRAY      1.38  0.181  0.197
7VLMA      182  XRAY      1.38  0.183  0.202
5RKZA      304  XRAY      1.38  0.185  0.211
9C90A       61  XRAY      1.38  0.221  0.223
6W0VA      125  XRAY     1.381   0.18  0.212
6W0VB       82  XRAY     1.381   0.18  0.212
5Y9XA      318  XRAY      1.39  0.134  0.168
2BFDB      342  XRAY      1.39   0.15   0.17
4GT9A      232  XRAY      1.39  0.153  0.164
6Q32A      471  XRAY      1.39   0.16  0.177
8OWSC      135  XRAY      1.39  0.175  0.203
8OWSA      122  XRAY      1.39  0.175  0.203
4OA3A      146  XRAY      1.39  0.176  0.205
8XIFA      224  XRAY      1.39   0.18  0.197
2NUHA      118  XRAY      1.39  0.197  0.205
7WZ5A      161  XRAY      1.39  0.199  0.213
2C3VA      102  XRAY      1.39  0.204   0.25
4ZHWA      168  XRAY     1.391  0.181  0.193
6GV8A      170  XRAY     1.394  0.158  0.189
6QE0A      283  XRAY     1.394  0.227  0.266
4Y2FA      149  XRAY     1.396  0.183  0.205
7D55A       88  XRAY     1.397  0.168  0.197
6DNMA      190  XRAY     1.397  0.195  0.231
4X9RA      237  XRAY     1.398  0.151  0.179
6K39A      152  XRAY     1.398  0.168  0.192
5J1SB      239  XRAY     1.399  0.144  0.188
5EMXA       72  XRAY     1.399  0.144  0.178
5K4BA      368  XRAY     1.399  0.175  0.193
6MYDA      157  XRAY     1.399  0.181  0.199
4ZAVA      209  XRAY       1.4  0.099  0.129
6FOPA      717  XRAY       1.4  0.109  0.133
4WY9A      297  XRAY       1.4  0.119  0.154
4LHSA      343  XRAY       1.4  0.128  0.164
2W91A      653  XRAY       1.4  0.129  0.162
8V4WA      207  XRAY       1.4  0.129  0.167
4JM1A       84  XRAY       1.4  0.131  0.168
3LG3A      435  XRAY       1.4  0.133  0.165
6EWMA      191  XRAY       1.4  0.133  0.171
7OSTAAA    318  XRAY       1.4  0.134  0.178
2QPXA      376  XRAY       1.4  0.135  0.162
2ODKA       89  XRAY       1.4  0.135  0.154
3K5JA      183  XRAY       1.4  0.136  0.162
5WKRA      223  XRAY       1.4  0.138  0.167
2W7AA      100  XRAY       1.4  0.138  0.185
4WY4C       78  XRAY       1.4  0.138  0.177
4WY4A       64  XRAY       1.4  0.138  0.177
4IL7A      166  XRAY       1.4  0.141  0.165
9C6EA      365  XRAY       1.4  0.143   0.18
2P51A      333  XRAY       1.4  0.143  0.204
4MXTA      190  XRAY       1.4  0.144  0.173
5WFYA      136  XRAY       1.4  0.144  0.181
2P4FA      299  XRAY       1.4  0.145  0.186
2P8IA      117  XRAY       1.4  0.145  0.173
7C1UA      434  XRAY       1.4  0.146  0.178
5XBIA      153  XRAY       1.4  0.146  0.182
6SQXA      499  XRAY       1.4  0.148  0.175
8OLJB      264  XRAY       1.4  0.148  0.178
7B0EA      291  XRAY       1.4  0.149  0.177
4GUCA      120  XRAY       1.4  0.149  0.187
7MJWA      457  XRAY       1.4   0.15  0.174
4Q4W1      305  XRAY       1.4   0.15  NA   
4Q4W2      271  XRAY       1.4   0.15  NA   
4Q4W4       69  XRAY       1.4   0.15  NA   
3WVAA      170  XRAY       1.4  0.151   0.19
2J5YA       61  XRAY       1.4  0.151  0.199
2J73A      103  XRAY       1.4  0.152  0.207
6ORIA      411  XRAY       1.4  0.153  0.174
6COJB      253  XRAY       1.4  0.153  0.173
6PT8A      350  XRAY       1.4  0.154  0.175
4ZBOA      265  XRAY       1.4  0.155  0.175
5CQ2A       90  XRAY       1.4  0.155  0.184
4Y1WA      239  XRAY       1.4  0.156  0.185
7PLPA       49  XRAY       1.4  0.156  0.171
5IXHA      161  XRAY       1.4  0.158  0.183
7X7JA      593  XRAY       1.4  0.159  0.183
6SSHA      204  XRAY       1.4   0.16  0.186
6Z6EA      160  XRAY       1.4   0.16   0.17
1EZGA       84  XRAY       1.4   0.16    0.2
3V7NA      487  XRAY       1.4  0.161  0.181
6R7VA      314  XRAY       1.4  0.161  0.188
4CFRA      104  XRAY       1.4  0.161  0.175
9E9GB       92  XRAY       1.4  0.161  0.182
3ZXCA       77  XRAY       1.4  0.161  0.191
8TYUA      181  XRAY       1.4  0.162  0.191
5MY7A      124  XRAY       1.4  0.162    0.2
8AH3A      378  XRAY       1.4  0.163  0.184
1Q5YA       85  XRAY       1.4  0.163   0.22
3PLWA      186  XRAY       1.4  0.164  0.172
2HIYA      183  XRAY       1.4  0.164  0.194
2RA9A      150  XRAY       1.4  0.164  0.196
9B8EA      233  XRAY       1.4  0.165  0.184
1W8TA      149  XRAY       1.4  0.165  0.186
2QNGA      199  XRAY       1.4  0.166  0.186
2I51A      195  XRAY       1.4  0.166  0.188
3ULTA      133  XRAY       1.4  0.166  0.187
6VJJB       80  XRAY       1.4  0.166  0.195
3BOEA      210  XRAY       1.4  0.167  0.186
6NZSA      587  XRAY       1.4  0.168  0.182
3HZPA      131  XRAY       1.4  0.168  0.184
5EDFA      244  XRAY       1.4  0.169  0.193
3IX3A      173  XRAY       1.4   0.17  0.207
7FCRA      193  XRAY       1.4  0.172  0.194
5XVJA      135  XRAY       1.4  0.172  0.205
7QFLA      132  XRAY       1.4  0.172  0.198
2CB8A       87  XRAY       1.4  0.172  0.194
3GP6A      163  XRAY       1.4  0.173  0.208
4CV7A      113  XRAY       1.4  0.173  0.199
8J5HA      247  XRAY       1.4  0.174   0.19
6CHXA      215  XRAY       1.4  0.175  0.211
6T84A      187  XRAY       1.4  0.175  0.199
7JJKA       90  XRAY       1.4  0.175  0.199
2ZWSA      646  XRAY       1.4  0.176  0.206
3KM5A      180  XRAY       1.4  0.177  0.208
3NKEA      200  XRAY       1.4  0.178  0.201
1M55A      197  XRAY       1.4  0.178  0.196
4R1JA      197  XRAY       1.4  0.178  0.201
4QI3A      208  XRAY       1.4  0.179  0.228
3HF5A      116  XRAY       1.4  0.179  0.208
5O9MA      180  XRAY       1.4   0.18  0.199
5MBXA      497  XRAY       1.4  0.181    0.2
6YZGA      318  XRAY       1.4  0.183  0.195
4YE7A      110  XRAY       1.4  0.183  0.207
7O23A      351  XRAY       1.4  0.184  0.217
1TZPA      255  XRAY       1.4  0.184  0.206
6X6ZA      442  XRAY       1.4  0.187  0.207
7P8XA      308  XRAY       1.4  0.187  0.198
7D0EA      105  XRAY       1.4  0.187  0.207
1M22A      503  XRAY       1.4  0.188  0.199
4RPMA      406  XRAY       1.4  0.189  0.204
3AIAA      211  XRAY       1.4   0.19  0.218
1MNNA      340  XRAY       1.4  0.195  0.206
1K7JA      206  XRAY       1.4  0.195  0.203
2G7OA       70  XRAY       1.4  0.195  0.224
1N13B      113  XRAY       1.4  0.196  0.215
4FP5D       98  XRAY       1.4  0.196  0.211
6LD1A      645  XRAY       1.4  0.197  0.218
1R6XA      395  XRAY       1.4  0.197  0.217
4WFVA      156  XRAY       1.4  0.197  0.213
3M8JA      111  XRAY       1.4  0.197  0.222
3NO7A       80  XRAY       1.4  0.198  0.212
4ZC3A       68  XRAY       1.4  0.199  0.213
2GUVA       56  XRAY       1.4  0.199  0.252
2EW0A      192  XRAY       1.4    0.2  0.217
7MQ3A       85  XRAY       1.4  0.201  0.225
2XZ2A       66  XRAY       1.4  0.201  0.245
3FKEA      129  XRAY       1.4  0.202  0.236
1NYCA      111  XRAY       1.4  0.202  0.226
5H3VA      103  XRAY       1.4  0.203  0.249
8P6QA       45  XRAY       1.4  0.203  0.251
2OHWA      133  XRAY       1.4  0.204  0.233
7Y6CB       88  XRAY       1.4  0.206  0.232
7Y6CA       74  XRAY       1.4  0.206  0.232
7Y6CF       43  XRAY       1.4  0.206  0.232
7ZOIA      151  XRAY       1.4  0.209  0.248
1GP0A      143  XRAY       1.4  0.209  0.237
2E1HA      235  XRAY       1.4  0.214   0.23
2E3NA      255  XRAY       1.4  0.216  0.225
2FCOA      200  XRAY       1.4  0.216  0.226
1IFRA      121  XRAY       1.4  0.216  NA   
1JY2N       53  XRAY       1.4  0.216  0.236
4YTWB      184  XRAY       1.4   0.22  0.236
4YTWA       81  XRAY       1.4   0.22  0.236
8XAQA       97  XRAY       1.4  0.222  0.254
3UXJA      290  XRAY     1.401  0.134  0.165
5ZHOA      162  XRAY     1.401  0.143  0.174
4ZV0A      163  XRAY     1.401  0.147  0.164
4ZV0B       94  XRAY     1.401  0.147  0.164
1VJUA      309  XRAY     1.401  0.151   0.18
5JDAA      359  XRAY     1.401  0.171  0.184
5AIMA      100  XRAY     1.401  0.176  0.198
6A5DA      136  XRAY     1.401  0.211  0.228
5J1TA      283  XRAY     1.402  0.148  0.177
3FSOA      123  XRAY     1.405  0.183  0.211
5V0MA       98  XRAY     1.407  0.174  0.206
6XXJA      369  XRAY      1.41  0.143   0.16
7ZGHA      417  XRAY      1.41  0.151  0.183
3FDEA      212  XRAY      1.41  0.151  0.186
5HEEA      262  XRAY      1.41  0.164  0.186
2P0NA      172  XRAY      1.41   0.17  0.203
5LQ1A      280  XRAY      1.41  0.182   0.23
6GN5A      192  XRAY      1.41  0.184  0.205
2YIMA      360  XRAY      1.41  0.187  0.205
3WQBB      148  XRAY      1.41  0.188  0.207
1XSZA      356  XRAY      1.41  0.202  0.225
3C00B       83  XRAY      1.41  0.217  0.236
6O5WA       59  XRAY     1.412  0.154  0.169
4X9JA       89  XRAY     1.412  0.174    0.2
5I5NA      154  XRAY     1.418  0.177   0.19
7LD9B      189  XRAY      1.42  0.108  0.134
2F22A      144  XRAY      1.42  0.158  0.182
7MPRA      206  XRAY      1.42  0.165  0.181
6FZ6A      366  XRAY      1.42  0.167  0.187
8P1GB      353  XRAY      1.42  0.168  0.183
7M1AAAA    179  XRAY      1.42  0.168  0.199
6RWTA      184  XRAY      1.42   0.17  0.201
3LHNA      126  XRAY      1.42  0.173  0.181
8VMSA      162  XRAY      1.42  0.179  0.189
7OCBB      222  XRAY      1.42  0.181  0.206
8HS0A      574  XRAY      1.42  0.182  0.197
8VGDA       83  XRAY      1.42  0.187  0.204
6X7NA      319  XRAY      1.42  0.194  0.223
4NESA      374  XRAY      1.42  0.196   0.22
7HI9A      173  XRAY      1.42  0.199  0.223
6B9XE      173  XRAY      1.42  0.212  0.237
6B9XA      161  XRAY      1.42  0.212  0.237
6B9XC      124  XRAY      1.42  0.212  0.237
1PP0A      199  XRAY      1.42  0.229  0.255
5V1YA      115  XRAY     1.421  0.141  0.175
3A35A      190  XRAY     1.421  0.196  0.234
6NDTB      178  XRAY     1.424  0.174  0.185
7ZGMA      709  XRAY      1.43  0.135  0.172
9BHSA      315  XRAY      1.43  0.142   0.17
5YJ6A      655  XRAY      1.43  0.152  0.181
7OFVA      185  XRAY      1.43  0.152  0.206
7EKZA      189  XRAY      1.43  0.166   0.22
7KG8A      531  XRAY      1.43  0.173  0.192
6RCCX      101  XRAY      1.43  0.184  0.199
2OPCA      127  XRAY      1.43  0.198  0.226
6YIPA       75  XRAY      1.43  0.224   0.32
3FSSA      237  XRAY     1.432  0.182   0.21
7CLYA      192  XRAY     1.432  0.196  0.217
5LUSA       68  XRAY     1.433  0.158  0.172
4N2PA      143  XRAY     1.435  0.143  0.179
4E4RA      331  XRAY      1.44  0.131   0.18
3LM3A      449  XRAY      1.44  0.142   0.16
7DV7A      348  XRAY      1.44  0.151  0.168
4LD1A      184  XRAY      1.44  0.155   0.18
8DYEB       98  XRAY      1.44  0.156  0.173
5N4BA      731  XRAY      1.44  0.157  0.181
9CFJA      276  XRAY      1.44  0.157  0.184
6YA6B      144  XRAY      1.44  0.168  0.193
2IA7A      134  XRAY      1.44  0.169  0.203
6TEQA      429  XRAY      1.44   0.17  0.203
5N0OA      398  XRAY      1.44  0.171  0.184
8ST7A      226  XRAY      1.44  0.171  0.199
7DMAA      103  XRAY      1.44  0.175  0.202
8U7CA       67  XRAY      1.44  0.175  0.202
7NDYG      187  XRAY      1.44  0.183  0.225
2Y8YA      215  XRAY      1.44  0.185  0.205
6PCZA      417  XRAY      1.44  0.197  0.208
4G7XA      105  XRAY      1.44  0.206  0.216
6DG4A      263  XRAY     1.442  0.119  0.148
3US6A      153  XRAY     1.446  0.168   0.19
4PDNA      190  XRAY     1.448  0.149  0.174
7CQ3A      304  XRAY     1.449  0.124  0.157
4L9PB      519  XRAY      1.45  0.126  0.152
4L9PA      367  XRAY      1.45  0.126  0.152
6QSPB      239  XRAY      1.45   0.13  0.162
7P7DA      830  XRAY      1.45  0.132   0.17
7TH4A      296  XRAY      1.45  0.134  0.178
4EVUA       72  XRAY      1.45  0.134  0.172
6XM7A      489  XRAY      1.45  0.135  0.154
4CDPA      354  XRAY      1.45  0.135  0.173
2HW2A      143  XRAY      1.45  0.137  0.185
4DJAA      518  XRAY      1.45   0.14   0.18
3H0NA      188  XRAY      1.45  0.141  0.157
4AE7A      220  XRAY      1.45  0.142  0.171
4Z47A      204  XRAY      1.45  0.143  0.195
3WLIA      609  XRAY      1.45  0.147  0.163
5JBNA      170  XRAY      1.45  0.147  0.182
6OSXA      168  XRAY      1.45  0.147  0.181
3F6YA      262  XRAY      1.45  0.148  0.184
6Q1HA      241  XRAY      1.45  0.148  0.167
4HTGA      320  XRAY      1.45  0.149  0.217
2FGQX      332  XRAY      1.45   0.15  0.171
4Q7OA      146  XRAY      1.45  0.151  0.189
4RAXA      252  XRAY      1.45  0.152  0.176
1Z72A      225  XRAY      1.45  0.152  0.167
4BJIA      215  XRAY      1.45  0.152   0.17
2NN5A      184  XRAY      1.45  0.153  0.193
1FM0E      150  XRAY      1.45  0.153  0.182
6YWNA      363  XRAY      1.45  0.157  0.182
3D5PA      144  XRAY      1.45  0.157  0.175
6TFRA      373  XRAY      1.45  0.158  0.176
2CYGA      312  XRAY      1.45  0.158  0.179
6XB6A      242  XRAY      1.45  0.158  0.174
7FB7A      155  XRAY      1.45  0.158  0.173
3BEDA      142  XRAY      1.45  0.159  0.197
9K7MA      313  XRAY      1.45   0.16  0.182
4AU1A      229  XRAY      1.45  0.161  0.178
4IUMA      142  XRAY      1.45  0.161  0.178
2ENDA      138  XRAY      1.45  0.161  NA   
5COZA      358  XRAY      1.45  0.162  0.185
3FCNA      164  XRAY      1.45  0.162  0.184
7NZDAAA     63  XRAY      1.45  0.164  0.228
6BD0A      300  XRAY      1.45  0.166   0.19
3ITFA      145  XRAY      1.45  0.169  0.189
4Z3GA      198  XRAY      1.45   0.17  0.189
3WURA      171  XRAY      1.45   0.17  0.204
7MS7A      121  XRAY      1.45   0.17  0.181
8G6PA      508  XRAY      1.45  0.171   0.19
3F14A      112  XRAY      1.45  0.171  0.181
8JORA      569  XRAY      1.45  0.172  0.194
2GLZA      153  XRAY      1.45  0.173  0.198
5FTGA      378  XRAY      1.45  0.174  0.218
4P3HA      193  XRAY      1.45  0.174  0.195
2ODIA      238  XRAY      1.45  0.175  0.199
7ZR2B       44  XRAY      1.45  0.176  0.209
1XD3A      230  XRAY      1.45  0.177  0.192
7R65A      229  XRAY      1.45  0.177  0.198
4V4M0      196  XRAY      1.45  0.177  0.208
7R1LA       56  XRAY      1.45  0.177  0.201
2X3MA      239  XRAY      1.45  0.178  0.195
2VCHA      480  XRAY      1.45  0.179  0.196
6R3MA      178  XRAY      1.45  0.179  0.208
8F5VA      167  XRAY      1.45   0.18  0.203
5NHUI       82  XRAY      1.45   0.18  0.203
6OJ7A       53  XRAY      1.45   0.18  0.189
5CSDA      159  XRAY      1.45  0.182  0.204
7OA7A      373  XRAY      1.45  0.183  0.201
3SZVA      401  XRAY      1.45  0.184  0.198
2B0AA      186  XRAY      1.45  0.186  0.218
3S44A      399  XRAY      1.45  0.188  0.215
1BGFA      124  XRAY      1.45  0.188  0.216
5G51A      157  XRAY      1.45   0.19  0.212
8RQPA      479  XRAY      1.45  0.192  0.223
3EYEA      168  XRAY      1.45  0.192  0.221
2E3HA       90  XRAY      1.45  0.193  0.215
1W5RA      278  XRAY      1.45  0.197   0.22
7Z27A      189  XRAY      1.45  0.198  0.218
5MFIA      243  XRAY      1.45  0.203  0.228
5VJTA      196  XRAY      1.45  0.203  0.236
2ZOUA      149  XRAY      1.45  0.203  0.222
8WRXA       88  XRAY      1.45  0.203  0.221
1C1KA      217  XRAY      1.45  0.205  0.253
5DMDA      151  XRAY      1.45  0.206  0.237
1V4PA      157  XRAY      1.45  0.207  0.227
3D7JA      152  XRAY      1.45  0.207  0.224
4LDVA      362  XRAY      1.45  0.211  0.243
7YHRA       60  XRAY      1.45  0.211  0.231
4OQ9A      159  XRAY      1.45  0.218   0.25
8ARLA      246  XRAY      1.45  0.227  0.253
3POJA      115  XRAY     1.451  0.126  0.155
5EP6B       58  XRAY     1.451  0.188  0.217
5EP6A       47  XRAY     1.451  0.188  0.217
4Z9HA      196  XRAY     1.452  0.175  0.205
6N0DA      461  XRAY     1.453  0.167  0.193
6HK9A       79  XRAY     1.454  0.181  0.205
5LJMA      215  XRAY     1.454  0.184  0.225
4ZQXA      237  XRAY      1.46   0.11  0.153
8UFOA      289  XRAY      1.46  0.153  0.177
4FZLA      247  XRAY      1.46  0.154  0.201
3I7MA      140  XRAY      1.46  0.164  0.198
8CM1A      212  XRAY      1.46  0.167  0.197
8TDAA      281  XRAY      1.46  0.176  0.212
7UBJA      147  XRAY      1.46  0.178  0.203
6N0KA      301  XRAY      1.46  0.179  0.209
1G3PA      217  XRAY      1.46  0.187  0.225
8GBEA      207  XRAY      1.46  0.192  0.212
8AQRA       58  XRAY      1.46  0.198  0.234
9BS5A      724  XRAY      1.46  0.205  0.224
8HY9A      163  XRAY     1.462  0.183  0.209
8A8QC       51  XRAY     1.465  0.212  0.234
6SXTA      483  XRAY     1.466  0.158  0.179
7KIHA       91  XRAY     1.467  0.184  0.216
5LS4A      206  XRAY     1.469  0.172  0.197
6TYUA      231  XRAY     1.469  0.179  0.201
3MJFA      431  XRAY      1.47  0.137  0.174
6XYBA      119  XRAY      1.47  0.145  0.185
5LXEA      335  XRAY      1.47  0.158  0.185
5FJLA      174  XRAY      1.47  0.158  0.179
2WZBA      416  XRAY      1.47  0.162  0.186
6W9OA      215  XRAY      1.47  0.165   0.19
8H4PA      344  XRAY      1.47  0.172  0.198
6TCIA       74  XRAY      1.47  0.174  0.218
6EDGA      213  XRAY      1.47  0.178  0.192
4DK2A      297  XRAY      1.47  0.179  0.211
7OUUA      205  XRAY      1.47  0.189  0.228
5YSQA      286  XRAY      1.47  0.193  0.204
3ZDBA      251  XRAY      1.47  0.204  0.231
3P0KA      266  XRAY      1.47  0.208  0.234
8USSA      127  XRAY      1.47  0.222  0.235
1R7JA       95  XRAY      1.47  0.232  0.244
8ERMA      218  XRAY     1.475  0.178  0.202
